iter	Passed	Remaining
0	63	63124
1	63	31886
2	64	21347
3	64	16101
4	65	12963
5	65	10864
6	65	9360
7	66	8225
8	66	7341
9	67	6672
10	68	6151
11	68	5671
12	69	5252
13	69	4895
14	69	4595
15	70	4352
16	71	4130
17	72	3929
18	72	3764
19	73	3596
20	73	3443
21	74	3304
22	74	3179
23	75	3063
24	75	2952
25	76	2852
26	76	2762
27	76	2670
28	77	2586
29	77	2507
30	77	2436
31	78	2367
32	78	2304
33	79	2244
34	79	2187
35	79	2139
36	80	2092
37	80	2044
38	81	1999
39	81	1955
40	81	1913
41	82	1872
42	82	1833
43	82	1795
44	83	1761
45	83	1727
46	83	1697
47	84	1676
48	84	1646
49	85	1619
50	85	1591
51	85	1567
52	86	1545
53	86	1520
54	87	1495
55	87	1471
56	87	1449
57	88	1429
58	88	1410
59	88	1393
60	89	1376
61	89	1360
62	90	1344
63	90	1328
64	91	1312
65	91	1297
66	92	1282
67	92	1268
68	92	1252
69	93	1241
70	94	1230
71	94	1219
72	95	1207
73	95	1195
74	95	1183
75	96	1170
76	96	1159
77	97	1148
78	97	1138
79	98	1129
80	98	1120
81	99	1115
82	99	1102
83	100	1096
84	101	1087
85	101	1078
86	101	1067
87	102	1058
88	102	1048
89	102	1038
90	102	1028
91	103	1021
92	103	1013
93	104	1006
94	104	999
95	105	993
96	105	986
97	106	979
98	106	973
99	107	966
100	107	960
101	108	954
102	108	946
103	109	939
104	109	932
105	109	926
106	110	921
107	110	914
108	111	908
109	111	901
110	111	895
111	112	889
112	112	883
113	112	877
114	113	872
115	113	866
116	113	859
117	114	856
118	114	850
119	115	845
120	115	839
121	115	833
122	116	830
123	116	826
124	117	822
125	117	817
126	118	812
127	118	806
128	119	804
129	119	799
130	119	794
131	120	789
132	120	784
133	120	779
134	120	775
135	121	770
136	121	766
137	121	761
138	122	757
139	122	753
140	123	751
141	123	746
142	124	743
143	124	740
144	124	736
145	125	734
146	125	730
147	126	726
148	126	722
149	126	718
150	127	714
151	127	711
152	127	707
153	128	703
154	128	699
155	128	695
156	128	691
157	129	687
158	129	684
159	129	680
160	129	676
161	129	672
162	130	668
163	130	665
164	130	662
165	131	658
166	131	655
167	131	651
168	131	648
169	132	645
170	132	641
171	132	638
172	133	636
173	133	633
174	133	630
175	133	627
176	134	624
177	134	621
178	135	619
179	135	617
180	135	614
181	136	611
182	136	609
183	136	607
184	137	605
185	137	602
186	137	599
187	138	597
188	138	595
189	139	593
190	139	591
191	139	588
192	140	585
193	140	583
194	140	580
195	140	578
196	141	575
197	141	573
198	141	570
199	142	569
200	142	567
201	143	565
202	143	563
203	144	562
204	144	560
205	144	558
206	145	556
207	145	555
208	146	553
209	146	551
210	146	549
211	147	547
212	147	544
213	147	542
214	148	540
215	148	538
216	148	536
217	148	534
218	149	532
219	149	530
220	149	528
221	150	526
222	150	525
223	151	523
224	151	522
225	152	520
226	152	520
227	153	519
228	153	517
229	154	516
230	155	516
231	156	516
232	156	514
233	156	512
234	156	510
235	157	511
236	158	509
237	158	508
238	159	506
239	159	505
240	159	503
241	160	501
242	160	499
243	160	498
244	161	496
245	161	495
246	161	493
247	162	491
248	162	489
249	162	488
250	162	486
251	163	484
252	163	483
253	164	482
254	164	480
255	165	479
256	165	478
257	165	477
258	166	475
259	166	474
260	167	472
261	167	471
262	167	469
263	168	468
264	168	467
265	169	466
266	169	465
267	169	464
268	170	463
269	170	462
270	171	460
271	171	459
272	171	457
273	172	456
274	172	454
275	172	453
276	173	451
277	173	450
278	173	448
279	173	447
280	174	445
281	174	444
282	174	442
283	174	441
284	175	439
285	175	438
286	175	436
287	176	435
288	176	434
289	176	432
290	177	431
291	177	430
292	177	429
293	178	429
294	179	429
295	180	429
296	181	428
297	181	427
298	182	426
299	182	425
300	182	424
301	183	423
302	183	422
303	183	421
304	184	420
305	184	419
306	185	417
307	185	416
308	185	415
309	186	414
310	186	412
311	186	411
312	186	410
313	187	409
314	187	408
315	188	406
316	188	405
317	188	404
318	188	403
319	189	401
320	189	400
321	189	399
322	189	397
323	190	396
324	190	395
325	190	394
326	191	393
327	191	392
328	191	390
329	191	389
330	192	388
331	192	387
332	192	386
333	193	384
334	193	383
335	193	382
336	193	381
337	194	380
338	194	378
339	194	377
340	194	376
341	195	375
342	195	374
343	195	373
344	196	372
345	196	371
346	196	370
347	196	369
348	197	367
349	197	367
350	197	366
351	198	364
352	198	363
353	198	362
354	199	361
355	199	360
356	199	359
357	200	358
358	200	358
359	200	357
360	201	356
361	201	355
362	201	353
363	202	353
364	202	352
365	202	351
366	202	350
367	203	349
368	203	348
369	203	347
370	204	346
371	204	345
372	204	344
373	205	343
374	205	342
375	205	341
376	205	340
377	206	339
378	206	338
379	207	337
380	207	337
381	207	336
382	208	335
383	208	334
384	209	334
385	209	333
386	209	332
387	210	331
388	210	330
389	210	329
390	210	328
391	211	327
392	211	326
393	211	325
394	211	324
395	212	323
396	212	322
397	212	321
398	213	321
399	213	320
400	213	319
401	214	318
402	214	317
403	214	316
404	215	315
405	215	315
406	215	314
407	216	313
408	216	313
409	217	312
410	217	311
411	217	310
412	217	309
413	218	308
414	218	307
415	218	307
416	218	306
417	219	305
418	219	304
419	219	303
420	220	302
421	220	301
422	220	300
423	220	300
424	221	299
425	221	298
426	221	297
427	221	296
428	222	295
429	222	294
430	222	294
431	223	293
432	223	292
433	223	291
434	223	290
435	224	290
436	224	289
437	225	288
438	225	287
439	225	287
440	225	286
441	226	285
442	226	284
443	226	283
444	227	283
445	227	282
446	227	281
447	227	280
448	228	280
449	228	279
450	228	278
451	229	277
452	229	277
453	229	276
454	230	275
455	230	274
456	230	274
457	231	273
458	231	272
459	231	271
460	231	271
461	232	270
462	232	269
463	232	268
464	233	268
465	233	267
466	233	266
467	233	265
468	234	265
469	234	264
470	234	263
471	234	262
472	235	262
473	235	261
474	236	260
475	236	260
476	236	259
477	237	259
478	238	259
479	239	259
480	240	259
481	240	258
482	241	258
483	242	258
484	242	257
485	243	257
486	243	256
487	243	255
488	244	255
489	244	254
490	245	254
491	245	253
492	246	253
493	246	252
494	247	252
495	247	251
496	248	251
497	248	250
498	248	249
499	249	249
500	250	249
501	250	248
502	251	248
503	251	247
504	251	246
505	252	246
506	252	245
507	253	245
508	254	245
509	254	244
510	254	243
511	255	243
512	255	242
513	256	242
514	256	241
515	256	241
516	257	240
517	257	239
518	258	239
519	258	238
520	259	238
521	259	237
522	260	237
523	260	236
524	260	235
525	261	235
526	261	234
527	261	234
528	262	233
529	262	232
530	263	232
531	263	231
532	263	231
533	264	230
534	264	230
535	265	229
536	265	228
537	265	228
538	266	227
539	266	227
540	266	226
541	267	225
542	267	225
543	267	224
544	267	223
545	268	222
546	268	222
547	268	221
548	269	221
549	269	220
550	269	219
551	270	219
552	270	218
553	270	217
554	270	217
555	271	216
556	271	215
557	271	215
558	271	214
559	272	213
560	272	213
561	273	212
562	273	212
563	273	211
564	274	211
565	274	210
566	274	209
567	275	209
568	275	208
569	276	208
570	276	207
571	276	207
572	277	206
573	277	206
574	278	205
575	279	205
576	279	204
577	279	204
578	280	203
579	280	203
580	280	202
581	281	201
582	281	201
583	281	200
584	282	200
585	282	199
586	282	199
587	283	198
588	283	197
589	283	197
590	284	196
591	284	195
592	284	195
593	284	194
594	285	194
595	285	193
596	285	193
597	286	192
598	286	191
599	286	191
600	287	190
601	287	190
602	288	189
603	288	189
604	288	188
605	288	187
606	289	187
607	289	186
608	289	186
609	290	185
610	290	184
611	290	184
612	291	183
613	291	183
614	291	182
615	291	181
616	292	181
617	292	180
618	292	180
619	292	179
620	293	178
621	293	178
622	293	177
623	294	177
624	294	176
625	294	175
626	294	175
627	295	174
628	295	174
629	295	173
630	295	173
631	296	172
632	296	171
633	296	171
634	296	170
635	297	170
636	297	169
637	297	169
638	298	168
639	298	167
640	298	167
641	299	166
642	299	166
643	299	165
644	299	165
645	300	164
646	300	163
647	300	163
648	301	162
649	301	162
650	301	161
651	302	161
652	302	160
653	302	160
654	303	159
655	303	159
