iter	Passed	Remaining
0	8	8327
1	8	4339
2	8	2970
3	9	2302
4	9	1901
5	9	1625
6	10	1425
7	10	1291
8	10	1175
9	11	1091
10	11	1019
11	11	956
12	11	904
13	12	857
14	12	818
15	12	794
16	13	771
17	13	752
18	14	727
19	14	704
20	14	686
21	15	669
22	15	654
23	15	640
24	16	626
25	16	619
26	16	609
27	17	596
28	17	585
29	17	574
30	18	563
31	18	553
32	18	544
33	18	534
34	19	526
35	19	518
36	19	512
37	20	507
38	20	500
39	20	493
40	20	487
41	21	481
42	21	475
43	21	471
44	21	466
45	22	461
46	22	457
47	22	453
48	23	449
49	23	445
50	23	443
51	24	439
52	24	436
53	24	432
54	25	429
55	25	426
56	25	423
57	25	419
58	26	416
59	26	413
60	26	410
61	26	408
62	27	405
63	27	402
64	28	403
65	28	401
66	28	398
67	28	396
68	29	394
69	29	391
70	29	389
71	30	386
72	30	384
73	30	383
74	31	383
75	31	384
76	32	386
77	32	385
78	33	384
79	33	385
80	33	384
81	34	383
82	34	379
83	34	378
84	35	377
85	35	378
86	35	376
87	36	374
88	36	372
89	36	370
90	36	369
91	37	367
92	37	366
93	37	365
94	38	363
95	38	361
96	38	360
97	38	358
98	39	357
99	39	356
100	39	355
101	40	355
102	40	353
103	40	352
104	41	351
105	41	353
106	42	351
107	42	350
108	42	348
109	42	347
110	43	346
111	43	344
112	43	342
113	43	341
114	44	339
115	44	338
116	44	336
117	44	335
118	45	334
119	45	333
120	45	332
121	45	331
122	46	330
123	46	329
124	46	328
125	47	327
126	47	326
127	47	324
128	48	324
129	48	326
130	48	324
131	49	323
132	49	322
133	49	321
134	50	320
135	50	319
136	50	318
137	50	317
138	51	317
139	51	316
140	51	315
141	51	313
142	52	313
143	52	312
144	52	311
145	53	310
146	53	309
147	53	309
148	53	308
149	54	307
150	54	306
151	54	306
152	55	305
153	55	304
154	55	303
155	55	302
156	56	301
157	56	300
158	56	300
159	57	299
160	57	297
161	57	296
162	57	296
163	57	295
164	58	294
165	58	294
166	58	293
167	59	292
168	59	292
169	59	291
170	59	290
171	60	290
172	60	289
173	60	289
174	61	288
175	61	287
176	61	286
177	61	286
178	62	285
179	62	284
180	62	284
181	63	283
182	63	282
183	63	281
184	63	281
185	64	280
186	64	279
187	64	278
188	64	278
189	65	277
190	65	276
191	65	276
192	65	275
193	66	275
194	66	274
195	66	274
196	67	273
197	67	273
198	67	272
199	68	272
200	68	271
201	68	271
202	68	270
203	69	269
204	69	269
205	69	268
206	69	268
207	70	267
208	70	266
209	70	266
210	71	265
211	71	264
212	71	264
213	71	263
214	72	263
215	72	262
216	72	262
217	72	261
218	73	261
219	73	260
220	73	260
221	74	259
222	74	259
223	74	258
224	74	258
225	75	257
226	75	257
227	75	256
228	76	256
229	76	255
230	76	254
231	76	254
232	77	254
233	77	253
234	77	253
235	78	252
236	78	252
237	78	251
238	78	251
239	79	250
